Date,Open,High,Low,Close,Adj Close,Volume
2017-01-27,6.25,6.25,6.25,6.25,6.25,8500
2017-01-30,6.25,6.25,6.25,6.25,6.25,0
2017-01-31,6.25,6.25,6.25,6.25,6.25,0
2017-02-01,6.25,6.25,6.25,6.25,6.25,0
2017-02-02,6.25,6.25,6.25,6.25,6.25,0
2017-02-03,6.25,6.25,6.25,6.25,6.25,0
2017-02-06,6.25,6.25,6.25,6.25,6.25,0
2017-02-07,6.25,6.25,6.25,6.25,6.25,0
2017-02-08,6.25,6.25,6.25,6.25,6.25,0
2017-02-09,6.25,6.25,6.25,6.25,6.25,0
2017-02-10,6.25,6.25,6.25,6.25,6.25,0
2017-02-13,6.25,6.25,6.25,6.25,6.25,0
2017-02-14,6.25,6.25,6.25,6.25,6.25,0
2017-02-15,6.25,6.25,6.25,6.25,6.25,0
2017-02-16,6.25,6.25,6.25,6.25,6.25,0
2017-02-17,6.25,6.25,6.25,6.25,6.25,0
2017-02-21,6.25,6.25,6.25,6.25,6.25,0
2017-02-22,6.25,6.25,6.25,6.25,6.25,0
2017-02-23,6.25,6.25,6.25,6.25,6.25,0
2017-02-24,6.25,6.25,6.25,6.25,6.25,0
2017-02-27,6.25,6.25,6.25,6.25,6.25,0
2017-02-28,6.25,6.25,6.25,6.25,6.25,0
2017-03-01,6.25,6.25,6.25,6.25,6.25,0
2017-03-02,6.25,6.25,6.25,6.25,6.25,0
2017-03-03,6.25,6.25,6.25,6.25,6.25,0
2017-03-06,6.25,6.25,6.25,6.25,6.25,0
2017-03-07,6.25,6.25,6.25,6.25,6.25,0
2017-03-08,6.25,6.25,6.25,6.25,6.25,0
2017-03-09,6.25,6.25,6.25,6.25,6.25,0
2017-03-10,6.25,6.25,6.25,6.25,6.25,0
2017-03-13,6.25,6.25,6.25,6.25,6.25,0
2017-03-14,6.25,6.25,6.25,6.25,6.25,0
2017-03-15,6.25,6.25,6.25,6.25,6.25,0
2017-03-16,6.25,6.25,6.25,6.25,6.25,0
2017-03-17,6.25,6.25,6.25,6.25,6.25,0
2017-03-20,6.25,6.25,6.25,6.25,6.25,0
2017-03-21,6.25,6.25,6.25,6.25,6.25,0
2017-03-22,6.25,6.25,6.25,6.25,6.25,0
2017-03-23,6.25,6.25,6.25,6.25,6.25,0
2017-03-24,6.25,6.25,6.25,6.25,6.25,0
2017-03-27,6.25,6.25,6.25,6.25,6.25,0
2017-03-28,6.25,6.25,6.25,6.25,6.25,0
2017-03-29,6.25,6.25,6.25,6.25,6.25,0
2017-03-30,6.25,6.25,6.25,6.25,6.25,0
2017-03-31,6.25,6.25,6.25,6.25,6.25,0
2017-04-03,6.25,6.25,6.25,6.25,6.25,0
2017-04-04,6.25,6.25,6.25,6.25,6.25,0
2017-04-05,6.25,6.25,6.25,6.25,6.25,0
2017-04-06,6.25,6.25,6.25,6.25,6.25,0
2017-04-07,6.25,6.25,6.25,6.25,6.25,0
2017-04-10,6.25,6.25,6.25,6.25,6.25,0
2017-04-11,6.25,6.25,6.25,6.25,6.25,0
2017-04-12,6.25,6.25,6.25,6.25,6.25,0
2017-04-13,6.25,6.25,6.25,6.25,6.25,0
2017-04-17,6.25,6.25,6.25,6.25,6.25,0
2017-04-18,6.25,6.25,6.25,6.25,6.25,0
2017-04-19,6.25,6.25,6.25,6.25,6.25,0
2017-04-20,6.25,6.25,6.25,6.25,6.25,0
2017-04-21,6.25,6.25,6.25,6.25,6.25,0
2017-04-24,6.25,6.25,6.25,6.25,6.25,0
2017-04-25,6.25,6.25,6.25,6.25,6.25,0
2017-04-26,6.25,6.25,6.25,6.25,6.25,0
2017-04-27,6.25,6.25,6.25,6.25,6.25,0
2017-04-28,6.25,6.25,6.25,6.25,6.25,0
2017-05-01,6.25,6.25,6.25,6.25,6.25,0
2017-05-02,6.25,6.25,6.25,6.25,6.25,0
2017-05-03,6.25,6.25,6.25,6.25,6.25,0
2017-05-04,6.25,6.25,6.25,6.25,6.25,0
2017-05-05,6.25,6.25,6.25,6.25,6.25,0
