Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,1.1,1.1,1.1,1.1,0.928895,0
2013-07-17,1.1,1.1,1.1,1.1,0.928895,0
2013-07-18,1.1,1.1,1.1,1.1,0.928895,0
2013-07-19,1.1,1.1,1.1,1.1,0.928895,0
2013-07-22,1.1,1.1,1.1,1.1,0.928895,0
2013-07-23,1.1,1.1,1.1,1.1,0.928895,0
2013-07-24,1.1,1.1,1.1,1.1,0.928895,0
2013-07-25,1.1,1.1,1.1,1.1,0.928895,0
2013-07-26,1.1,1.1,1.1,1.1,0.928895,0
2013-07-29,1.1,1.1,1.1,1.1,0.928895,0
2013-07-30,1.1,1.1,1.1,1.1,0.928895,0
2013-07-31,1.1,1.1,1.1,1.1,0.928895,0
2013-08-01,1.1,1.1,1.1,1.1,0.928895,0
2013-08-02,1.1,1.1,1.1,1.1,0.928895,0
2013-08-05,1.1,1.1,1.1,1.1,0.928895,0
2013-08-06,1.1,1.1,1.1,1.1,0.928895,0
2013-08-07,1.1,1.1,1.1,1.1,0.928895,0
2013-08-08,1.1,1.1,1.1,1.1,0.928895,0
2013-08-09,1.1,1.1,1.1,1.1,0.928895,0
2013-08-12,1.1,1.1,1.1,1.1,0.928895,0
2013-08-13,1.1,1.1,1.1,1.1,0.928895,0
2013-08-14,1.1,1.1,1.1,1.1,0.928895,0
2013-08-15,1.1,1.1,1.1,1.1,0.928895,0
2013-08-16,1.1,1.1,1.1,1.1,0.928895,0
2013-08-19,1.1,1.1,1.1,1.1,0.928895,0
2013-08-20,1.1,1.1,1.1,1.1,0.928895,0
2013-08-21,1.1,1.1,1.1,1.1,0.928895,0
2013-08-22,1.1,1.1,1.1,1.1,0.928895,0
2013-08-23,1.1,1.1,1.1,1.1,0.928895,0
2013-08-26,1.1,1.1,1.1,1.1,0.928895,0
2013-08-27,1.1,1.1,1.1,1.1,0.928895,0
2013-08-28,1.1,1.1,1.1,1.1,0.928895,0
2013-08-29,1.1,1.1,1.1,1.1,0.928895,0
2013-08-30,1.1,1.1,1.1,1.1,0.928895,0
2013-09-03,1.1,1.1,1.1,1.1,0.928895,0
2013-09-04,1.1,1.1,1.1,1.1,0.928895,0
2013-09-05,1.1,1.1,1.1,1.1,0.928895,0
2013-09-06,1.1,1.1,1.1,1.1,0.928895,0
2013-09-09,1.1,1.1,1.1,1.1,0.928895,0
2013-09-10,1.1,1.1,1.1,1.1,0.928895,0
2013-09-11,1.1,1.1,1.1,1.1,0.928895,0
2013-09-12,1.1,1.1,1.1,1.1,0.928895,0
2013-09-13,1.1,1.1,1.1,1.1,0.928895,0
2013-09-16,1.1,1.1,1.1,1.1,0.928895,0
2013-09-17,1.1,1.1,1.1,1.1,0.928895,0
2013-09-18,1.1,1.1,1.1,1.1,0.928895,0
2013-09-19,1.1,1.1,1.1,1.1,0.928895,0
2013-09-20,1.1,1.1,1.1,1.1,0.928895,0
2013-09-23,1.1,1.1,1.1,1.1,0.928895,0
2013-09-24,1.1,1.1,1.1,1.1,0.928895,0
2013-09-25,1.1,1.1,1.1,1.1,0.928895,0
2013-09-26,1.1,1.1,1.1,1.1,0.928895,0
2013-09-27,1.1,1.1,1.1,1.1,0.928895,0
2013-09-30,1.1,1.1,1.1,1.1,0.928895,0
2013-10-01,1.1,1.1,1.1,1.1,0.928895,0
2013-10-02,1.1,1.1,1.1,1.1,0.928895,0
2013-10-03,1.1,1.1,1.1,1.1,0.928895,0
2013-10-04,1.1,1.1,1.1,1.1,0.928895,0
2013-10-07,1.1,1.1,1.1,1.1,0.928895,0
2013-10-08,1.1,1.1,1.1,1.1,0.928895,0
2013-10-09,1.1,1.1,1.1,1.1,0.928895,0
2013-10-10,1.1,1.1,1.1,1.1,0.928895,0
2013-10-11,1.1,1.1,1.1,1.1,0.928895,0
2013-10-14,1.1,1.1,1.1,1.1,0.928895,0
2013-10-15,1.1,1.1,1.1,1.1,0.928895,0
2013-10-16,1.1,1.1,1.1,1.1,0.928895,0
2013-10-17,1.1,1.1,1.1,1.1,0.928895,0
2013-10-18,1.1,1.1,1.1,1.1,0.928895,0
2013-10-21,1.1,1.1,1.1,1.1,0.928895,0
2013-10-22,1.1,1.1,1.1,1.1,0.928895,0
2013-10-23,1.1,1.1,1.1,1.1,0.928895,0
2013-10-24,1.1,1.1,1.1,1.1,0.928895,0
2013-10-25,1.1,1.1,1.1,1.1,0.928895,0
2013-10-28,1.1,1.1,1.1,1.1,0.928895,0
2013-10-29,1.1,1.1,1.1,1.1,0.928895,0
2013-10-30,1.1,1.1,1.1,1.1,0.928895,0
2013-10-31,1.1,1.1,1.1,1.1,0.928895,0
2013-11-01,1.1,1.1,1.1,1.1,0.928895,0
2013-11-04,1.1,1.1,1.1,1.1,0.928895,0
2013-11-05,1.1,1.1,1.1,1.1,0.928895,0
2013-11-06,1.1,1.1,1.1,1.1,0.928895,0
2013-11-07,1.1,1.1,1.1,1.1,0.928895,0
2013-11-08,1.1,1.1,1.1,1.1,0.928895,0
2013-11-11,1.1,1.1,1.1,1.1,0.928895,0
2013-11-12,1.1,1.1,1.1,1.1,0.928895,0
2013-11-13,1.1,1.1,1.1,1.1,0.928895,0
2013-11-14,1.1,1.1,1.1,1.1,0.928895,0
2013-11-15,1.1,1.1,1.1,1.1,0.928895,0
2013-11-18,1.1,1.1,1.1,1.1,0.928895,0
2013-11-19,1.1,1.1,1.1,1.1,0.928895,0
2013-11-20,1.1,1.1,1.1,1.1,0.928895,0
2013-11-21,1.1,1.1,1.1,1.1,0.928895,0
2013-11-22,1.1,1.1,1.1,1.1,0.928895,0
2013-11-25,1.1,1.1,1.1,1.1,0.928895,0
2013-11-26,1.1,1.1,1.1,1.1,0.928895,0
2013-11-27,1.1,1.1,1.1,1.1,0.928895,0
2013-11-29,1.1,1.1,1.1,1.1,0.928895,0
2013-12-02,1.1,1.1,1.1,1.1,0.928895,0
2013-12-03,1.1,1.1,1.1,1.1,0.928895,0
2013-12-04,1.1,1.1,1.1,1.1,0.928895,0
2013-12-05,1.1,1.1,1.1,1.1,0.928895,0
2013-12-06,1.1,1.1,1.1,1.1,0.928895,0
2013-12-09,1.1,1.1,1.1,1.1,0.928895,0
2013-12-10,1.1,1.1,1.1,1.1,0.928895,0
2013-12-11,1.1,1.1,1.1,1.1,0.928895,0
2013-12-12,1.1,1.1,1.1,1.1,0.928895,0
2013-12-13,1.1,1.1,1.1,1.1,0.928895,0
2013-12-16,1.1,1.1,1.1,1.1,0.928895,0
2013-12-17,1.1,1.1,1.1,1.1,0.928895,0
2013-12-18,1.1,1.1,1.1,1.1,0.928895,0
2013-12-19,1.1,1.1,1.1,1.1,0.928895,0
2013-12-20,1.1,1.1,1.1,1.1,0.928895,0
2013-12-23,1.1,1.1,1.1,1.1,0.928895,0
2013-12-24,1.1,1.1,1.1,1.1,0.928895,0
2013-12-26,1.1,1.1,1.1,1.1,0.928895,0
2013-12-27,1.1,1.1,1.1,1.1,0.928895,0
2013-12-30,1.1,1.1,1.1,1.1,0.928895,0
2013-12-31,1.1,1.1,1.1,1.1,0.928895,0
2014-01-02,1.1,1.1,1.1,1.1,0.928895,0
